Comunidad,Horas de Sol al Año,Irradiación Solar al Año
Ciudad,Horas de sol (año),Irradiación solar
Almería,3.305,6 kWh/m2día
Cádiz,3.316,6 kWh/m2día
Córdoba,3.100,"5,9 kWh/m2día"
Granada,3.228,6 kWh/m2día
Huelva,3.527,6 kWh/m2día
Jaén,3.289,"5,8 kWh/m2día"
Málaga,3.248,"5,8 kWh/m2día"
Sevilla,3.526,"5,9 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Huesca,3.099,"5,6 kWh/m2día"
Zaragoza,2.620,"5,6 kWh/m2día"
Teruel,3.011,"5,6 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Oviedo,1.962,"3,8 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Barcelona,2.453,"5,3 kWh/m2día"
Tarragona,2.820,"5,4 kWh/m2día"
Gerona,2.800,"5,2 kWh/m2día"
Lleida,3.031,"5,2 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
A Coruña,2.453,"4,3 kWh/m2día"
Lugo,2.820,"4,3 kWh/m2día"
Ourense,2.800,"4,8 kWh/m2día"
Pontevedra,3.031,"4,4 kWh/m2día"
Santander,1.639,"3,9 kWh/m2día"
Albacete,3.282,"5,7 kWh/m2día"
Ciudad Real,3.295,"5,7 kWh/m2día"
Cuenca,2.779,"5,5 kWh/m2día"
Guadalajara,2.900,"5,5 kWh/m2día"
Toledo,2.815,"5,7 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Ávila,3.065,"5,2 kWh/m2día"
Burgos,2.751,"4,9 kWh/m2día"
León,2.734,"5,3 kWh/m2día"
Salamanca,3.262,"5,4 kWh/m2día"
Segovia,3.024,5 kWh/m2día
Soria,2.894,"5,1 kWh/m2día"
Valladolid,3.016,"5,8 kWh/m2día"
Zamora,2.858,"5,4 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Alicante,3.397,"5,1 kWh/m2día"
Valencia,2.808,"5,1 kWh/m2día"
Castellón,3.321,5 kWh/m2día
Palma de Mallorca,3.098,"5,7 kWh/m2día"
Menorca,2.981,–
Ciudad,Horas de sol (año),Irradiación solar
Las Palmas,+ 3.300,"5,5 kWh/m2día"
Tenerife,+ 3.300,"5,9 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Logroño,2.708,"4,5 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Bilbao,1.694,"3,8 kWh/m2día"
San Sebastián,1.906,"3,6 kWh/m2día"
Vitoria,2.147,"4,2 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Cáceres,3.365,"5,7 kWh/m2día"
Badajoz,3.224,"5,7 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Madrid,2.691,"5,7 kWh/m2día"
Ciudad,Horas de sol (año),Irradiación solar
Pamplona,2.285,5 kWh/m2día
Ciudad,Horas de sol (año),Irradiación solar
Murcia,3.348,"5,7 kWh/m2día"
