Ciudad,Horas de sol,Irradiación
Almería,3305.0,6
Cádiz,3316.0,6
Córdoba,3100.0,5.9
Granada,3228.0,6
Huelva,3527.0,6
Jaén,3289.0,5.8
Málaga,3248.0,5.8
Sevilla,3526.0,5.9
Huesca,3099.0,5.6
Zaragoza,2620.0,5.6
Teruel,3011.0,5.6
Oviedo,1962.0,3.8
Barcelona,2453.0,5.3
Tarragona,2820.0,5.4
Gerona,2800.0,5.2
Lleida,3031.0,5.2
A Coruña,2453.0,4.3
Lugo,2820.0,4.3
Ourense,2800.0,4.8
Pontevedra,3031.0,4.4
Santander,1639.0,3.9
Albacete,3282.0,5.7
Ciudad Real,3295.0,5.7
Cuenca,2779.0,5.5
Guadalajara,2900.0,5.5
Toledo,2815.0,5.7
Ávila,3065.0,5.2
Burgos,2751.0,4.9
León,2734.0,5.3
Salamanca,3262.0,5.4
Segovia,3024.0,5
Soria,2894.0,5.1
Valladolid,3016.0,5.8
Zamora,2858.0,5.4
Alicante,3397.0,5.1
Valencia,2808.0,5.1
Castellón,3321.0,5
Palma de Mallorca,3098.0,5.7
Menorca,2981.0,–
Las Palmas,3300.0,5.5
Tenerife,3300.0,5.9
Logroño,2708.0,4.5
Bilbao,1694.0,3.8
San Sebastián,1906.0,3.6
Vitoria,2147.0,4.2
Cáceres,3365.0,5.7
Badajoz,3224.0,5.7
Madrid,2691.0,5.7
Pamplona,2285.0,5
Murcia,3348.0,5.7
